Ensembl.ID,Gene,"Mean(zygote, 4 cell)","Mean(8 cell, morula, ICM, Epi, PrEnd)",LogFC#1,"Mean(zygote, 4 cell, 8 cell)","Mean(morula, ICM, Epi, PrEnd)",LogFC#2
ENSG00000085831,TTC39A,1.03,0.27,-1.93,0.80,0.25,-1.66
ENSG00000085832,EPS15,10.32,6.59,-0.65,9.45,6.31,-0.58
ENSG00000085840,ORC1,14.44,29.53,1.03,16.11,32.05,0.99
ENSG00000085871,MGST2,35.63,22.53,-0.66,26.64,26.00,-0.04
ENSG00000085872,CHERP,7.63,8.03,0.07,9.52,6.71,-0.50
ENSG00000085978,ATG16L1,2.33,17.93,2.94,9.84,16.20,0.72
ENSG00000085982,USP40,4.33,1.57,-1.46,3.23,1.70,-0.92
ENSG00000085998,POMGNT1,2.55,4.13,0.70,2.04,4.91,1.27
ENSG00000085999,RAD54L,3.54,12.86,1.86,7.34,12.34,0.75
ENSG00000086015,MAST2,1.86,9.62,2.37,5.73,8.65,0.59
ENSG00000086061,DNAJA1,293.51,244.97,-0.26,365.99,178.48,-1.04
ENSG00000086062,B4GALT1,22.53,34.18,0.60,18.38,40.20,1.13
ENSG00000086065,CHMP5,13.10,58.09,2.15,27.96,58.20,1.06
ENSG00000086102,NFX1,3.77,11.05,1.55,6.42,10.88,0.76
ENSG00000086159,AQP6,0.03,0.08,1.49,0.11,0.04,-1.42
ENSG00000086189,DIMT1,4.31,27.50,2.67,8.90,29.85,1.75
ENSG00000086200,IPO11,1.78,10.72,2.59,5.24,10.36,0.98
ENSG00000086205,FOLH1,0.00,0.13,Inf,0.12,0.07,-0.92
ENSG00000086232,EIF2AK1,10.48,8.33,-0.33,7.78,9.82,0.34
ENSG00000086288,NME8,0.00,0.01,Inf,0.00,0.01,Inf
ENSG00000086289,EPDR1,0.00,0.07,Inf,0.05,0.05,0.17
ENSG00000086300,SNX10,2.67,2.76,0.05,2.01,3.27,0.70
ENSG00000086475,SEPHS1,14.78,17.27,0.22,12.01,19.98,0.73
ENSG00000086504,MRPL28,0.47,66.99,7.16,2.80,81.87,4.87
ENSG00000086506,HBQ1,0.85,0.21,-2.02,0.65,0.20,-1.68
ENSG00000086544,ITPKC,0.03,3.98,7.05,0.13,4.89,5.20
ENSG00000086548,CEACAM6,0.00,6.60,Inf,0.01,8.24,10.27
ENSG00000086570,FAT2,1.82,0.20,-3.20,1.50,0.03,-5.77
ENSG00000086589,RBM22,23.89,23.89,0.00,23.16,24.44,0.08
ENSG00000086598,TMED2,32.13,78.31,1.29,31.11,90.62,1.54
ENSG00000086619,ERO1B,21.08,1.25,-4.08,15.19,0.71,-4.42
ENSG00000086666,ZFAND6,30.12,19.06,-0.66,27.13,18.54,-0.55
ENSG00000086696,HSD17B2,0.00,0.21,Inf,0.05,0.23,2.19
ENSG00000086712,TXLNG,41.29,17.62,-1.23,36.14,15.56,-1.22
ENSG00000086717,PPEF1,11.82,0.86,-3.79,9.26,0.03,-8.27
ENSG00000086730,LAT2,0.04,0.51,3.67,0.08,0.60,2.97
ENSG00000086758,HUWE1,1.45,18.93,3.71,2.44,22.56,3.21
ENSG00000086827,ZW10,5.81,10.74,0.89,5.65,12.09,1.10
ENSG00000086848,ALG9,0.49,0.26,-0.91,0.37,0.29,-0.34
ENSG00000086967,MYBPC2,0.50,0.17,-1.56,0.40,0.17,-1.27
ENSG00000086991,NOX4,0.11,0.06,-0.83,0.08,0.07,-0.14
ENSG00000087008,ACOX3,1.78,3.76,1.08,2.16,3.96,0.87
ENSG00000087053,MTMR2,12.13,8.20,-0.56,8.80,9.72,0.14
ENSG00000087074,PPP1R15A,7.11,51.90,2.87,29.31,46.45,0.66
ENSG00000087076,HSD17B14,0.16,1.03,2.73,0.60,0.92,0.62
ENSG00000087077,TRIP6,0.15,3.05,4.39,0.23,3.71,3.99
ENSG00000087085,ACHE,0.14,0.70,2.31,0.22,0.77,1.79
ENSG00000087086,FTL,1441.01,835.71,-0.79,1144.91,906.46,-0.34
ENSG00000087087,SRRT,6.09,31.74,2.38,13.08,32.91,1.33
ENSG00000087088,BAX,0.70,10.37,3.90,0.60,12.86,4.42
ENSG00000087095,NLK,4.02,5.19,0.37,6.41,3.69,-0.80
ENSG00000087111,PIGS,1.44,8.30,2.53,2.39,9.30,1.96
ENSG00000087116,ADAMTS2,0.45,0.20,-1.15,0.30,0.25,-0.25
ENSG00000087128,TMPRSS11E,0.36,0.42,0.23,0.24,0.52,1.14
ENSG00000087152,ATXN7L3,0.17,4.20,4.63,1.50,4.20,1.48
ENSG00000087157,PGS1,4.69,4.26,-0.14,3.73,4.87,0.38
ENSG00000087191,PSMC5,18.26,67.99,1.90,22.49,77.24,1.78
ENSG00000087206,UIMC1,35.28,9.27,-1.93,29.04,7.45,-1.96
ENSG00000087237,CETP,0.01,0.03,1.38,0.01,0.03,2.29
ENSG00000087245,MMP2,0.01,1.60,8.32,0.09,1.94,4.43
ENSG00000087250,MT3,0.11,0.01,-2.91,0.08,0.01,-3.00
ENSG00000087253,LPCAT2,0.01,0.87,7.45,0.57,0.67,0.24
ENSG00000087258,GNAO1,0.43,0.10,-2.06,0.36,0.07,-2.36
ENSG00000087263,OGFOD1,78.38,15.64,-2.32,54.79,17.65,-1.63
ENSG00000087266,SH3BP2,0.10,0.18,0.85,0.09,0.21,1.21
ENSG00000087269,NOP14,2.47,8.58,1.80,2.57,10.04,1.96
ENSG00000087274,ADD1,5.33,4.47,-0.26,3.97,5.27,0.41
ENSG00000087299,L2HGDH,1.16,2.51,1.11,1.13,2.87,1.34
ENSG00000087301,TXNDC16,1.62,0.71,-1.20,1.65,0.46,-1.85
ENSG00000087302,C14orf166,56.55,34.07,-0.73,51.13,32.52,-0.65
ENSG00000087303,NID2,5.51,2.30,-1.26,4.11,2.54,-0.69
ENSG00000087338,GMCL1,14.19,4.76,-1.58,11.17,4.67,-1.26
ENSG00000087365,SF3B2,13.89,24.41,0.81,13.70,27.18,0.99
ENSG00000087448,KLHL42,6.87,1.91,-1.84,4.86,2.18,-1.16
ENSG00000087460,GNAS,5.94,12.55,1.08,5.64,14.43,1.36
ENSG00000087470,DNM1L,8.95,9.99,0.16,6.81,11.85,0.80
ENSG00000087494,PTHLH,0.12,0.16,0.44,0.08,0.20,1.35
ENSG00000087495,PHACTR3,30.23,0.67,-5.49,21.01,0.20,-6.75
ENSG00000087502,ERGIC2,8.90,13.68,0.62,9.91,14.12,0.51
ENSG00000087510,TFAP2C,0.57,59.46,6.72,25.56,55.44,1.12
ENSG00000087586,AURKA,746.94,79.65,-3.23,522.00,81.53,-2.68
ENSG00000087589,CASS4,0.30,0.07,-2.02,0.24,0.07,-1.86
ENSG00000087842,PIR,0.20,3.74,4.26,0.13,4.67,5.17
ENSG00000087884,AAMDC,0.39,13.01,5.08,2.27,14.75,2.70
ENSG00000087903,RFX2,0.57,0.58,0.02,0.45,0.67,0.58
ENSG00000087995,METTL2A,0.14,6.45,5.53,0.68,7.62,3.49
ENSG00000088002,SULT2B1,0.27,0.94,1.80,0.46,0.97,1.07
ENSG00000088035,ALG6,3.16,6.81,1.11,2.97,7.87,1.41
ENSG00000088038,CNOT3,3.26,2.23,-0.54,2.43,2.60,0.09
ENSG00000088053,GP6,0.02,0.41,4.36,0.07,0.47,2.75
ENSG00000088179,PTPN4,1.04,0.90,-0.21,0.85,1.01,0.24
ENSG00000088205,DDX18,19.68,27.10,0.46,20.40,28.41,0.48
ENSG00000088247,KHSRP,24.95,16.79,-0.57,21.41,17.40,-0.30
ENSG00000088256,GNA11,70.50,9.62,-2.87,55.14,5.92,-3.22
ENSG00000088280,ASAP3,0.94,2.92,1.63,0.98,3.38,1.79
ENSG00000088298,EDEM2,7.12,26.13,1.88,9.93,28.77,1.53
ENSG00000088305,DNMT3B,43.55,46.41,0.09,29.40,57.73,0.97
ENSG00000088320,REM1,0.17,2.80,4.08,0.23,3.41,3.89
ENSG00000088325,TPX2,80.10,93.88,0.23,116.94,69.70,-0.75
ENSG00000088356,PDRG1,19.26,59.95,1.64,44.92,50.88,0.18
ENSG00000088367,EPB41L1,0.79,2.40,1.61,0.58,2.95,2.34
ENSG00000088386,SLC15A1,0.02,0.20,3.74,0.10,0.18,0.80
ENSG00000088387,DOCK9,3.31,1.09,-1.60,2.51,1.13,-1.15
ENSG00000088448,ANKRD10,22.26,23.59,0.08,18.53,26.73,0.53
ENSG00000088451,TGDS,0.11,11.21,6.74,1.04,13.29,3.68
ENSG00000088538,DOCK3,0.26,0.91,1.84,0.28,1.06,1.93
ENSG00000088543,C3orf18,0.12,0.48,2.01,0.16,0.54,1.76
ENSG00000088682,COQ9,3.25,7.75,1.25,3.45,8.73,1.34
ENSG00000088726,TMEM40,0.01,0.29,4.84,0.12,0.27,1.13
ENSG00000088727,KIF9,2.01,6.41,1.68,1.74,7.71,2.15
ENSG00000088756,ARHGAP28,0.01,0.29,5.84,0.14,0.25,0.82
ENSG00000088766,CRLS1,18.44,4.50,-2.04,13.19,4.95,-1.41
ENSG00000088782,DEFB127,0.00,0.00,NA,0.00,0.00,NA
ENSG00000088808,PPP1R13B,14.38,4.23,-1.76,14.33,1.73,-3.05
ENSG00000088812,ATRN,0.98,2.08,1.08,0.97,2.36,1.29
ENSG00000088826,SMOX,2.82,53.75,4.26,10.25,60.91,2.57
ENSG00000088827,SIGLEC1,0.00,0.00,Inf,0.00,0.00,-0.42
ENSG00000088832,FKBP1A,25.48,43.65,0.78,19.00,53.05,1.48
ENSG00000088833,NSFL1C,11.49,16.36,0.51,9.97,18.71,0.91
ENSG00000088836,SLC4A11,3.68,31.09,3.08,2.71,38.67,3.84
ENSG00000088854,C20orf194,13.26,1.73,-2.94,10.18,1.15,-3.14
ENSG00000088876,ZNF343,4.53,4.51,-0.01,3.97,4.93,0.31
ENSG00000088881,EBF4,0.08,0.08,0.02,0.05,0.09,0.79
ENSG00000088882,CPXM1,0.01,0.07,2.89,0.01,0.09,3.79
ENSG00000088888,MAVS,0.51,3.51,2.78,1.04,3.86,1.90
ENSG00000088899,LZTS3,0.02,0.70,5.54,0.13,0.79,2.63
ENSG00000088926,F11,0.30,0.00,-6.23,0.20,0.01,-5.32
ENSG00000088930,XRN2,132.71,49.16,-1.43,106.06,48.25,-1.14
ENSG00000088970,KIZ,4.93,3.38,-0.54,4.34,3.44,-0.34
ENSG00000088986,DYNLL1,21.07,73.74,1.81,66.09,53.14,-0.31
ENSG00000088992,TESC,13.04,1.60,-3.03,10.67,0.52,-4.37
ENSG00000089006,SNX5,51.01,41.73,-0.29,57.68,34.41,-0.75
ENSG00000089009,RPL6,29.53,72.21,1.29,64.40,56.73,-0.18
ENSG00000089012,SIRPG,0.00,0.00,NA,0.00,0.00,NA
ENSG00000089022,MAPKAPK5,1.31,2.71,1.06,1.35,3.04,1.17
ENSG00000089041,P2RX7,0.02,0.02,0.68,0.03,0.02,-1.00
ENSG00000089048,ESF1,58.05,41.82,-0.47,59.59,36.61,-0.70
ENSG00000089050,RBBP9,0.01,7.02,10.46,0.33,8.54,4.71
ENSG00000089053,ANAPC5,1.46,14.31,3.30,2.63,16.65,2.66
ENSG00000089057,SLC23A2,0.19,7.47,5.34,0.25,9.24,5.23
ENSG00000089060,SLC8B1,0.08,11.09,7.11,0.12,13.81,6.89
ENSG00000089063,TMEM230,14.40,19.92,0.47,13.85,21.71,0.65
ENSG00000089091,DZANK1,3.75,1.24,-1.60,2.95,1.21,-1.28
ENSG00000089094,KDM2B,1.03,2.48,1.28,1.90,2.19,0.20
ENSG00000089101,CFAP61,0.63,0.16,-1.98,0.52,0.12,-2.12
ENSG00000089116,LHX5,0.02,0.03,1.00,0.05,0.01,-2.74
ENSG00000089123,TASP1,5.95,12.11,1.03,9.49,11.00,0.21
ENSG00000089127,OAS1,0.00,0.12,Inf,0.00,0.15,5.49
ENSG00000089154,GCN1,4.89,10.51,1.10,4.52,12.19,1.43
ENSG00000089157,RPLP0,380.09,411.03,0.11,591.68,260.07,-1.19
ENSG00000089159,PXN,3.08,7.05,1.20,2.69,8.34,1.63
ENSG00000089163,SIRT4,1.52,2.42,0.68,1.77,2.46,0.48
ENSG00000089169,RPH3A,16.61,0.64,-4.69,11.94,0.15,-6.32
ENSG00000089177,KIF16B,3.90,2.82,-0.47,3.25,3.04,-0.09
ENSG00000089195,TRMT6,24.68,23.71,-0.06,25.47,22.88,-0.15
ENSG00000089199,CHGB,0.01,0.00,-2.32,0.01,0.00,-1.42
ENSG00000089220,PEBP1,126.54,124.87,-0.02,90.44,151.53,0.74
ENSG00000089225,TBX5,22.75,0.28,-6.36,15.58,0.03,-8.91
ENSG00000089234,BRAP,13.86,24.19,0.80,23.97,19.19,-0.32
ENSG00000089248,ERP29,10.40,82.38,2.99,9.08,101.36,3.48
ENSG00000089250,NOS1,0.02,0.09,2.17,0.12,0.03,-1.88
ENSG00000089280,FUS,2.65,38.80,3.87,8.18,43.69,2.42
ENSG00000089289,IGBP1,50.34,44.99,-0.16,46.45,46.57,0.00
ENSG00000089327,FXYD5,0.05,10.36,7.69,0.04,12.95,8.46
ENSG00000089335,ZNF302,6.05,7.01,0.21,11.60,3.09,-1.91
ENSG00000089351,GRAMD1A,2.85,3.33,0.23,2.24,3.90,0.80
ENSG00000089356,FXYD3,0.00,0.66,Inf,0.00,0.83,Inf
ENSG00000089472,HEPH,0.00,0.09,Inf,0.00,0.11,Inf
ENSG00000089486,CDIP1,8.15,4.58,-0.83,8.78,3.22,-1.45
ENSG00000089505,CMTM1,0.00,0.03,Inf,0.00,0.04,Inf
ENSG00000089558,KCNH4,0.03,0.09,1.82,0.02,0.11,2.72
ENSG00000089597,GANAB,0.47,25.11,5.75,1.07,30.82,4.85
ENSG00000089639,GMIP,0.00,1.54,Inf,0.10,1.86,4.21
ENSG00000089682,RBM41,2.30,1.75,-0.39,1.57,2.16,0.46
ENSG00000089685,BIRC5,6.86,56.47,3.04,18.83,59.90,1.67
ENSG00000089692,LAG3,0.07,0.02,-1.54,0.05,0.03,-0.64
ENSG00000089693,MLF2,2.38,56.76,4.58,12.89,62.48,2.28
ENSG00000089723,OTUB2,0.03,0.04,0.34,0.02,0.05,1.25
ENSG00000089737,DDX24,21.71,21.01,-0.05,24.22,18.95,-0.35
ENSG00000089775,ZBTB25,0.03,0.91,4.92,0.07,1.10,3.97
ENSG00000089818,NECAP1,5.94,11.52,0.96,7.41,11.81,0.67
ENSG00000089820,ARHGAP4,0.01,0.09,3.10,0.01,0.10,2.94
ENSG00000089847,ANKRD24,0.24,0.04,-2.48,0.16,0.05,-1.58
ENSG00000089876,DHX32,4.21,1.97,-1.09,3.06,2.28,-0.43
ENSG00000089902,RCOR1,22.70,9.12,-1.32,20.66,7.26,-1.51
ENSG00000089916,GPATCH2L,1.37,1.79,0.39,2.43,1.10,-1.15
ENSG00000090006,LTBP4,1.20,2.85,1.25,1.31,3.18,1.28
ENSG00000090013,BLVRB,0.15,27.94,7.59,2.04,33.47,4.04
ENSG00000090020,SLC9A1,7.22,9.88,0.45,9.35,8.94,-0.06
ENSG00000090054,SPTLC1,7.90,19.61,1.31,8.60,22.01,1.36
ENSG00000090060,PAPOLA,9.20,32.39,1.82,19.27,30.63,0.67
ENSG00000090061,CCNK,0.84,1.75,1.06,1.21,1.71,0.50
ENSG00000090097,PCBP4,0.19,1.82,3.30,0.83,1.74,1.07
ENSG00000090104,RGS1,0.01,0.00,-1.32,0.00,0.00,-0.42
ENSG00000090238,YPEL3,2.62,3.03,0.21,2.40,3.29,0.46
ENSG00000090263,MRPS33,8.92,18.52,1.05,8.01,21.60,1.43
ENSG00000090266,NDUFB2,2.76,56.79,4.37,3.15,70.00,4.47
ENSG00000090273,NUDC,16.62,126.14,2.92,44.35,132.72,1.58
ENSG00000090316,MAEA,12.37,12.27,-0.01,10.61,13.57,0.35
ENSG00000090339,ICAM1,6.62,0.60,-3.47,5.18,0.17,-4.97
ENSG00000090372,STRN4,1.55,4.27,1.47,1.33,5.11,1.94
ENSG00000090376,IRAK3,0.02,0.18,3.55,0.22,0.06,-1.82
ENSG00000090382,LYZ,0.04,0.97,4.59,0.09,1.16,3.75
ENSG00000090402,SI,0.00,0.00,NA,0.00,0.00,NA
ENSG00000090432,MUL1,12.96,32.00,1.30,11.44,37.90,1.73
ENSG00000090447,TFAP4,1.38,0.36,-1.95,1.01,0.38,-1.41
ENSG00000090470,PDCD7,39.44,9.33,-2.08,31.37,7.85,-2.00
ENSG00000090487,SPG21,28.17,8.87,-1.67,19.72,10.39,-0.92
ENSG00000090512,FETUB,0.00,0.06,Inf,0.00,0.08,Inf
ENSG00000090520,DNAJB11,13.86,18.00,0.38,13.48,19.32,0.52
ENSG00000090530,P3H2,1.44,1.53,0.09,1.02,1.87,0.87
ENSG00000090534,THPO,0.05,0.76,4.07,0.03,0.95,4.83
ENSG00000090539,CHRD,0.00,0.28,Inf,0.04,0.33,3.16
ENSG00000090554,FLT3LG,0.06,0.14,1.35,0.16,0.09,-0.88
ENSG00000090565,RAB11FIP3,0.82,1.09,0.41,0.93,1.08,0.21
ENSG00000090581,GNPTG,0.42,6.12,3.86,0.78,7.27,3.22
ENSG00000090612,ZNF268,0.85,3.55,2.07,2.39,3.07,0.36
ENSG00000090615,GOLGA3,10.35,4.63,-1.16,8.46,4.62,-0.87
ENSG00000090621,PABPC4,39.15,28.07,-0.48,34.11,29.09,-0.23
ENSG00000090659,CD209,0.03,0.00,-Inf,0.02,0.00,-Inf
ENSG00000090661,CERS4,0.30,4.32,3.85,0.38,5.26,3.79
ENSG00000090674,MCOLN1,1.94,14.38,2.89,2.07,17.39,3.07
ENSG00000090686,USP48,5.06,5.71,0.17,4.32,6.43,0.57
ENSG00000090776,EFNB1,1.28,0.72,-0.82,1.34,0.54,-1.32
ENSG00000090857,PDPR,11.92,3.45,-1.79,9.42,3.20,-1.56
ENSG00000090861,AARS,4.82,15.34,1.67,4.17,18.45,2.15
ENSG00000090863,GLG1,4.83,7.86,0.70,5.50,8.11,0.56
ENSG00000090889,KIF4A,93.77,18.65,-2.33,75.35,13.68,-2.46
ENSG00000090905,TNRC6A,25.27,5.81,-2.12,20.26,4.70,-2.11
ENSG00000090924,PLEKHG2,0.05,0.61,3.77,0.14,0.68,2.25
ENSG00000090932,DLL3,2.09,9.04,2.12,2.55,10.43,2.03
ENSG00000090971,NAT14,1.50,1.38,-0.12,1.28,1.51,0.23
ENSG00000090975,PITPNM2,0.03,0.60,4.32,0.02,0.75,5.00
ENSG00000090989,EXOC1,5.48,5.35,-0.03,5.70,5.15,-0.15
ENSG00000091009,RBM27,6.09,3.07,-0.99,6.13,2.28,-1.43
ENSG00000091010,POU4F3,0.00,0.00,Inf,0.00,0.00,Inf
ENSG00000091039,OSBPL8,8.18,5.59,-0.55,7.11,5.74,-0.31
ENSG00000091073,DTX2,13.40,3.25,-2.04,9.53,3.62,-1.40
ENSG00000091106,NLRC4,0.02,0.64,5.00,0.18,0.67,1.90
ENSG00000091127,PUS7,4.46,8.47,0.93,3.36,10.30,1.62
ENSG00000091128,LAMB4,0.61,0.06,-3.35,0.42,0.07,-2.69
ENSG00000091129,NRCAM,1.17,0.69,-0.76,1.01,0.69,-0.54
ENSG00000091136,LAMB1,40.69,20.71,-0.97,29.01,24.48,-0.25
ENSG00000091137,SLC26A4,0.04,0.11,1.68,0.04,0.13,1.67
ENSG00000091138,SLC26A3,0.01,0.03,2.49,0.05,0.00,-Inf
ENSG00000091140,DLD,10.21,29.03,1.51,8.71,34.86,2.00
ENSG00000091157,WDR7,5.63,0.64,-3.14,4.02,0.60,-2.75
ENSG00000091164,TXNL1,6.44,12.91,1.00,7.42,13.79,0.89
ENSG00000091181,IL5RA,0.81,0.02,-5.34,0.56,0.01,-5.48
ENSG00000091262,ABCC6,10.13,1.18,-3.10,8.55,0.13,-6.01
ENSG00000091317,CMTM6,19.68,33.80,0.78,24.91,33.40,0.42
ENSG00000091409,ITGA6,4.93,7.03,0.51,3.72,8.46,1.18
ENSG00000091428,RAPGEF4,0.00,0.24,Inf,0.02,0.29,3.83
ENSG00000091436,AC013461.1,2.35,0.52,-2.17,1.79,0.49,-1.88
ENSG00000091482,SMPX,0.10,0.02,-2.47,0.09,0.01,-4.17
ENSG00000091483,FH,45.60,32.22,-0.50,33.02,38.31,0.21
ENSG00000091490,SEL1L3,0.00,0.11,Inf,0.00,0.14,Inf
ENSG00000091513,TF,0.00,0.21,Inf,0.00,0.26,Inf
ENSG00000091527,CDV3,15.71,92.30,2.55,93.74,52.93,-0.82
ENSG00000091536,MYO15A,0.14,0.01,-3.49,0.09,0.02,-2.58
ENSG00000091542,ALKBH5,225.67,30.71,-2.88,169.96,23.75,-2.84
ENSG00000091583,APOH,0.08,1.16,3.85,0.05,1.45,4.76
ENSG00000091592,NLRP1,0.72,0.16,-2.16,0.49,0.19,-1.40
ENSG00000091622,PITPNM3,0.05,0.05,0.00,0.06,0.04,-0.50
ENSG00000091640,SPAG7,7.74,15.67,1.02,7.15,18.09,1.34
ENSG00000091651,ORC6,10.22,29.67,1.54,17.85,28.81,0.69
ENSG00000091656,ZFHX4,0.00,0.16,Inf,0.21,0.04,-2.39
ENSG00000091664,SLC17A6,0.00,0.00,NA,0.00,0.00,NA
ENSG00000091704,CPA1,2.70,0.26,-3.38,2.13,0.07,-4.88
ENSG00000091732,ZC3HC1,15.33,24.33,0.67,15.67,26.32,0.75
ENSG00000091831,ESR1,0.04,0.03,-0.32,0.05,0.01,-2.09
ENSG00000091844,RGS17,0.13,0.35,1.45,0.26,0.31,0.27
ENSG00000091879,ANGPT2,0.43,0.33,-0.36,0.57,0.20,-1.48
ENSG00000091947,TMEM101,3.52,10.53,1.58,5.06,11.12,1.14
ENSG00000091972,CD200,0.00,3.15,Inf,0.00,3.94,Inf
ENSG00000091986,CCDC80,0.00,1.12,Inf,0.07,1.35,4.34
ENSG00000092009,CMA1,0.00,0.00,NA,0.00,0.00,NA
ENSG00000092010,PSME1,9.34,9.56,0.03,7.99,10.62,0.41
ENSG00000092020,PPP2R3C,19.90,17.92,-0.15,18.95,18.14,-0.06
ENSG00000092036,HAUS4,22.21,7.38,-1.59,17.95,6.87,-1.39
ENSG00000092051,JPH4,0.06,0.02,-1.78,0.05,0.01,-1.90
ENSG00000092054,MYH7,0.89,0.03,-4.79,0.63,0.01,-6.40
ENSG00000092067,CEBPE,0.00,0.03,Inf,0.00,0.04,Inf
ENSG00000092068,SLC7A8,27.60,58.85,1.09,20.62,71.90,1.80
ENSG00000092094,OSGEP,0.14,16.07,6.84,0.93,19.46,4.38
ENSG00000092096,SLC22A17,0.00,0.07,Inf,0.05,0.05,-0.17
ENSG00000092098,RNF31,0.29,1.04,1.87,0.28,1.23,2.12
ENSG00000092108,SCFD1,9.26,7.22,-0.36,7.11,8.32,0.23
ENSG00000092140,G2E3,1.88,8.06,2.10,5.15,7.15,0.47
ENSG00000092148,HECTD1,4.96,5.13,0.05,4.89,5.23,0.10
ENSG00000092199,HNRNPC,34.61,98.56,1.51,63.21,93.09,0.56
ENSG00000092200,RPGRIP1,0.14,1.00,2.89,1.18,0.44,-1.42
ENSG00000092201,SUPT16H,2.63,23.54,3.16,9.57,23.56,1.30
ENSG00000092203,TOX4,15.89,17.45,0.14,22.27,13.05,-0.77
ENSG00000092208,GEMIN2,18.49,14.51,-0.35,13.72,17.09,0.32
ENSG00000092295,TGM1,0.00,0.22,Inf,0.00,0.28,Inf
ENSG00000092330,TINF2,18.77,7.53,-1.32,14.28,8.09,-0.82
ENSG00000092345,DAZL,46.83,2.34,-4.32,32.88,1.68,-4.29
ENSG00000092377,TBL1Y,0.10,0.29,1.56,0.37,0.14,-1.40
ENSG00000092421,SEMA6A,0.01,18.50,11.85,0.20,22.98,6.84
ENSG00000092439,TRPM7,3.58,3.36,-0.09,3.70,3.22,-0.20
ENSG00000092445,TYRO3,1.94,7.22,1.90,2.16,8.38,1.96
ENSG00000092470,WDR76,21.65,5.26,-2.04,16.94,4.69,-1.85
ENSG00000092529,CAPN3,0.03,0.00,-2.91,0.02,0.01,-2.00
ENSG00000092531,SNAP23,5.45,16.88,1.63,4.41,20.52,2.22
ENSG00000092607,TBX15,0.01,0.12,3.56,0.14,0.05,-1.45
ENSG00000092621,PHGDH,0.03,6.78,8.08,0.15,8.38,5.84
ENSG00000092758,COL9A3,0.53,3.86,2.87,0.42,4.78,3.52
ENSG00000092820,EZR,193.92,190.61,-0.02,137.24,232.30,0.76
ENSG00000092841,MYL6,2.83,146.78,5.70,4.90,181.22,5.21
ENSG00000092847,AGO1,1.53,3.36,1.14,1.38,3.93,1.51
ENSG00000092850,TEKT2,0.00,0.14,Inf,0.09,0.10,0.10
ENSG00000092853,CLSPN,68.59,20.67,-1.73,61.01,14.37,-2.09
ENSG00000092871,RFFL,4.22,0.93,-2.19,3.38,0.73,-2.22
ENSG00000092929,UNC13D,1.97,0.90,-1.13,1.53,0.97,-0.66
ENSG00000092931,MFSD11,0.91,6.19,2.77,4.16,5.07,0.29
ENSG00000092964,DPYSL2,3.08,5.57,0.86,2.99,6.26,1.07
ENSG00000092969,TGFB2,0.00,0.98,Inf,1.61,0.02,-6.53
ENSG00000092978,GPATCH2,11.08,5.56,-0.99,10.76,4.42,-1.28
ENSG00000093000,NUP50,16.96,22.58,0.41,25.63,17.47,-0.55
ENSG00000093009,CDC45,30.13,19.35,-0.64,21.44,23.18,0.11
ENSG00000093010,COMT,0.01,2.10,7.72,0.01,2.63,8.62
ENSG00000093072,CECR1,0.03,1.08,5.17,0.02,1.35,5.85
ENSG00000093134,VNN3,0.00,0.22,Inf,0.34,0.03,-3.61
ENSG00000093144,ECHDC1,1.64,5.66,1.79,1.81,6.53,1.85
ENSG00000093167,LRRFIP2,7.94,5.37,-0.56,7.52,5.04,-0.58
ENSG00000093183,SEC22C,5.56,1.11,-2.32,3.81,1.31,-1.54
ENSG00000093217,XYLB,0.07,1.63,4.54,0.07,2.02,4.92
ENSG00000094631,HDAC6,0.16,1.53,3.30,0.17,1.86,3.48
ENSG00000094661,OR1I1,0.00,0.00,NA,0.00,0.00,NA
ENSG00000094755,GABRP,2.12,0.04,-5.59,1.42,0.05,-4.98
ENSG00000094796,KRT31,0.00,0.00,NA,0.00,0.00,NA
ENSG00000094804,CDC6,21.86,40.62,0.89,44.91,28.02,-0.68
ENSG00000094841,UPRT,4.63,2.23,-1.06,3.18,2.71,-0.23
ENSG00000094880,CDC23,0.84,19.67,4.56,7.30,19.54,1.42
ENSG00000094914,AAAS,6.46,20.94,1.70,6.68,24.40,1.87
ENSG00000094916,CBX5,7.82,6.48,-0.27,8.51,5.62,-0.60
ENSG00000094963,FMO2,2.17,0.46,-2.24,2.11,0.08,-4.76
ENSG00000094975,SUCO,10.41,3.56,-1.55,7.48,4.04,-0.89
ENSG00000095002,MSH2,49.27,52.89,0.10,59.39,46.21,-0.36
ENSG00000095015,MAP3K1,0.20,2.72,3.80,0.99,2.75,1.47
ENSG00000095059,DHPS,1.37,10.65,2.96,1.91,12.57,2.72
ENSG00000095066,HOOK2,1.83,3.36,0.88,1.48,4.01,1.44
ENSG00000095110,NXPE1,0.00,0.01,Inf,0.00,0.02,Inf
ENSG00000095139,ARCN1,23.95,27.13,0.18,20.17,30.76,0.61
ENSG00000095203,EPB41L4B,5.38,1.31,-2.03,3.89,1.41,-1.46
ENSG00000095209,TMEM38B,3.68,10.09,1.46,3.08,12.14,1.98
ENSG00000095261,PSMD5,3.03,4.75,0.65,2.26,5.75,1.35
ENSG00000095303,PTGS1,0.24,0.03,-3.00,0.16,0.04,-2.09
ENSG00000095319,NUP188,4.17,12.14,1.54,4.92,13.57,1.46
ENSG00000095321,CRAT,1.36,0.65,-1.07,1.06,0.70,-0.60
